filepath,pii_hash,category,event_code,methodology,confidence_score
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,<NA>,System,T0-ANL,Tika Parser Metadata Analysis,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,<NA>,System,T0-ANL,Tika Parser Metadata Analysis,1.0
/Users/webdev/Documents/Complyable/small_batch/Lebenslauf_persoenlich_junior copy.pdf,<NA>,System,T0-ANL,Tika Parser Metadata Analysis,1.0
/Users/webdev/Documents/Complyable/small_batch/lebenslauf_anna_mueller.pdf,<NA>,System,T0-ANL,Tika Parser Metadata Analysis,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,<NA>,System,T0-ANL,Tika Parser Metadata Analysis,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,79439e48a7ae261d384d7fa0d6c53eba7084bc7b0d6997927ab84c50d07019b3,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,2ee8ae1971b72ce761c34be73a666f18b18204030db012b32b83ddd1e6c76919,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,1fbc486f56b702794fe709d21b621fcedfddec5c3b47fdaaad3a40fa4e830d1b,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,ac7bb74de6884ffce919c15fef4193749d4588026c643973946713ac46da540d,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,197258ca7af8a0237e0142a6a134eebb3865f709ac600f174ccafd9b5732b11a,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,af59d975cc129cfae20ed3dc13322b3da5c8d844157550ba79fd4aefc4c454d2,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,55eb98af205c9d17e3569de62916a94b7944672c772f526e6e4c957c0b8d5eeb,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,79439e48a7ae261d384d7fa0d6c53eba7084bc7b0d6997927ab84c50d07019b3,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,1814d559d903a355adc7a53dce316c9951ed3051a3dc835caed2a5e5b2642539,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,1fbc486f56b702794fe709d21b621fcedfddec5c3b47fdaaad3a40fa4e830d1b,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,0a5021255973689d14938f512754626b4cd797fada7a0b686ffe9515617d84e7,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/Lebenslauf_persoenlich_junior copy.pdf,bc057bc1b6a03b41ccd61fe131197fb30e235dba0750bd25b5f1d7d6f0874220,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/Lebenslauf_persoenlich_junior copy.pdf,57a3283d833b65c8a6e8d1acb9c99b8a895296ecf28f4795d666b72cb7f0732f,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/Lebenslauf_persoenlich_junior copy.pdf,8f914541867dd2e2f380f5fbaddb63ab71bc324db2aa93af410b91ef83df8918,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/Lebenslauf_persoenlich_junior copy.pdf,11eb3890c7358e243299891c0debb1cece829ff97849e319022236e2ac844b83,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
